id_1,HYBAS_ID,Year,Ephemeral,Seasonal,Permanent
0,2120048790,1984,0.018,0.0144,0.009
1,2120048800,1984,0.1719,0.0702,0.0441
2,2120406340,1984,0.2187,0.0495,0.0468
3,2120406010,1984,0.0549,0.0486,0.0801
4,2121124090,1984,0.207,0.0324,0.1071
5,2121123310,1984,0.045,0.0117,0
6,2121123100,1984,0.135,0.0837,0.0594
7,2121123970,1984,0.0819,0.0099,0.0315
8,2120048810,1984,0.0918,0.0468,0.1521
9,2120048820,1984,0.5049,0.2907,1.0989
10,2120048830,1984,1.0062,0.5832,1.1889
11,2120048840,1984,0.0234,0.0198,0.0225
12,2120048850,1984,0.0684,0.0432,0.1251
13,2120048860,1984,0.0207,0.0036,0.0063
14,2120048870,1984,0.0288,0.0072,0.0117
15,2120048880,1984,0.0603,0.1467,0.0666
16,2120048890,1984,0.0027,0.0054,0.0144
17,2120048900,1984,0.0414,0.0387,0.0504
18,2121123780,1984,0.0261,0,0
19,2121122980,1984,0.0324,0.0234,0.0099
20,2120048910,1984,0.0378,0.0072,0.0225
21,2120048920,1984,0.3294,0.0081,0.0252
22,2120406160,1984,0.0297,0.009,0.0144
23,2120406000,1984,0.162,0.0054,0
24,2120403840,1984,0.0144,0.0045,0.0153
25,2120403700,1984,0.0288,0,0
26,2120400620,1984,0,0,0
27,2120400610,1984,0.0099,0.0144,0.0108
28,2120400020,1984,0.0018,0,0
29,2120399900,1984,0.0009,0,0
30,2120399160,1984,0,0,0
31,2120399170,1984,0.0072,0.0081,0.0027
32,2120048930,1984,0.2952,0.2979,0.9675
33,2120048940,1984,0.4329,0.774,0.8856
34,2120048950,1984,0.0072,0.0126,0.0135
35,2120048960,1984,0.198,0.1071,0.1386
36,2120048970,1984,0.0108,0.0225,0.0117
37,2120048980,1984,0.009,0.0198,0.0099
38,2120412030,1984,0.0018,0.0045,0.0027
39,2120411910,1984,1.6443,0.4293,1.2402
40,2120411090,1984,0.4005,0.0117,0
41,2120410970,1984,0.0963,0.0153,0.0081
42,2120410150,1984,0.0612,0.0153,0.0117
43,2120409980,1984,0.0144,0.0855,0.0063
44,2121124650,1984,0.0054,0.0009,0
45,2121125410,1984,0,0,0
46,2120404020,1984,0,0,0
47,2120403830,1984,0,0,0
48,2120403200,1984,0,0,0
49,2120403080,1984,0.0054,0,0
50,2120402990,1984,0,0,0
51,2120402900,1984,0.0036,0,0
52,2121124750,1984,0.0369,0,0
53,2120402590,1984,0,0,0
54,2120402800,1984,0.0576,0.063,0.072
55,2120401590,1984,0.0387,0.0009,0.0153
56,2120401340,1984,0,0,0
57,2120405990,1984,0.0261,0,0
58,2120406330,1984,0,0,0
59,2121121730,1984,0,0,0
60,2121123960,1984,0.0747,0.0036,0.0018
61,2121122150,1984,0.0549,0.0027,0.0774
62,2121121040,1984,0.0126,0,0
63,2120048990,1984,0.018,0.0315,0.0243
64,2120049000,1984,0.1341,0.2151,0.5679
65,2120049010,1984,0.4239,0.0387,0.0585
66,2120049020,1984,0.7479,0.072,0.0936
67,2121126380,1984,0.567,0.018,0.0027
68,2121126230,1984,0,0.0009,0.0018
69,2120049030,1984,0.5535,0.4068,1.7946
70,2120049040,1984,0,0,0.0018
71,2120049050,1984,0.0108,0,0.0036
72,2120049060,1984,0.0072,0.0018,0.0018
73,2121125910,1984,0,0,0
74,2121125540,1984,0.0828,0,0
75,2120049070,1984,0.0027,0,0.0009
76,2120049080,1984,0.0243,0.0153,0.0342
77,2120049090,1984,0.063,0.009,0.036
78,2120049100,1984,0.0423,0.0009,0.0009
79,2120049110,1984,0,0,0
80,2120049120,1984,0.0432,0.0045,0.0342
81,2120411350,1984,0,0,0
82,2120411360,1984,0,0,0
83,2120410850,1984,0.0009,0,0
84,2120410860,1984,0,0,0
85,2121125790,1984,0.0207,0.0018,0.0036
86,2121125040,1984,0.0315,0.0009,0
87,2121124610,1984,0.0036,0,0
88,2120404270,1984,0,0,0
89,2120404280,1984,0.9621,0.2412,0.2745
90,2120049130,1984,0.0693,0.0063,0.0252
91,2120049140,1984,0.2547,0.0576,0.1494
92,2120415650,1984,0.2196,0.1503,0.3042
93,2120415640,1984,0.0126,0.0081,0.0108
94,2120049150,1984,0.0117,0.0396,0.0783
95,2120049160,1984,0.0153,0.1161,0.1305
96,2120049170,1984,0.0765,0.0657,0.1701
97,2121129040,1984,0.0198,0,0
98,2121128030,1984,0.0018,0.0189,0.0459
99,2120049180,1984,0.1233,0.3735,0.99
100,2120049190,1984,0.0297,0.0414,0.0855
101,2120049200,1984,0.0099,0.0243,0.0171
102,2120049210,1984,0.0162,0.0207,0.009
103,2120049220,1984,0,0.0099,0.0027
104,2120049230,1984,0.2043,0.0711,0.1071
105,2120049240,1984,0.0081,0.0387,0.0558
106,2120049250,1984,0.7155,0.2358,0.7884
107,2120049260,1984,0.0585,0.0675,0.3888
108,2120049270,1984,0.0207,0.0162,0.0054
109,2120049280,1984,0.0117,0.0018,0.0036
110,2120049290,1984,0.0252,0.0045,0.0063
111,2120415550,1984,0.0108,0,0
112,2120415630,1984,0.0036,0,0
113,2120414110,1984,0.0135,0,0.0009
114,2120414120,1984,0.0027,0,0
115,2120413910,1984,0.0018,0.0009,0
116,2120413850,1984,3.8511,0,0
117,2120413590,1984,0,0,0
